X,Y,source_url,what3words,upstream,name,completeness,uuid,date_modified,source,version,type,physical-address,phone,email,url,defining-hours
121.137352,14.5659958,http://www.openstreetmap.org/node/2694351354,chat.pints.mankind,openstreetmap¶n2694351354,20-1 Barangay Health Station,35.29%,e32de8829d524d60b40a55a2029b765f,2015/11/17 09:43:57.838+00,OpenStreetMap,2,clinic,,,,,
123.943115,10.3379301,http://www.openstreetmap.org/node/2141277725,shadow.vipers.modest,openstreetmap¶n2141277725,24hr Birthing Center,35.29%,116f9d20caa946ea969796092d79b0dc,2015/11/17 09:43:57.838+00,OpenStreetMap,2,clinic,,,,,
125.9791335,8.5078074,http://www.openstreetmap.org/node/4020825463,caravan.flint.evicted,OpenStreetMap¶n4020825463,4m ultrasound,29.41%,6cbffaf7de0b49bd81eb99b58d291206,2016/02/26 15:58:36+00,OpenStreetMap,2,clinic,,,,,
124.566082183806,12.06807845,http://www.openstreetmap.org/way/317862375,wildest.progress.chirped,openstreetmap¶w317862375,7thDayAdventistSanitariumHospital,35.29%,3225787941ba40e7ab8c81514ec1a16f,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,
120.23383295,14.8796749,http://www.openstreetmap.org/way/266959244,chug.redhead.quickness,openstreetmap¶w266959244,81752,35.29%,ceaf253f77044fd28035a65bdb91ed14,2015/12/11 10:51:22.924+00,OpenStreetMap,2,clinic,,,,,
120.9951921,14.6985432,http://www.openstreetmap.org/node/4574882595,dinosaur.probably.rotation,OpenStreetMap¶n4574882595,"98 msa agri, 98 msa agri",29.41%,67da3629c4dc44ba9e19882412868c66,2016/12/27 11:18:43+00,OpenStreetMap,2,clinic,,,,,
125.1340666,8.1492865,http://www.openstreetmap.org/node/4496283700,incident.centigrade.impactful,OpenStreetMap¶n4496283700,"A and K DrugTesting Center, A and K DrugTesting Center",35.29%,6f422836aed44c87827acc94e95bfbb1,2016/11/12 06:00:13+00,OpenStreetMap,2,clinic,San Victores,,,,
120.858219804191,15.25059275,http://www.openstreetmap.org/way/378902184,disordered.slipper.clapped,openstreetmap¶w378902184,"A, Duque Memorial Hospital",35.29%,669516aa8f624739b62453009b0a60f2,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,
120.9575002,14.6876655,http://www.openstreetmap.org/node/255069888,bucks.shuffle.silks,openstreetmap¶n255069888,A. P. Cruz Community Hospital,35.29%,6a75ad5ee8364423a7d9f38a7fe7677c,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,
121.043441,14.7303,http://www.openstreetmap.org/node/255060717,rate.reading.leafing,openstreetmap¶n255060717,A. R. Bautista Children And General Hospital,35.29%,783dfd3d950b4b7b88ea5cb6006df3b4,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,
121.0239457,14.5889239,http://www.openstreetmap.org/node/4445659743,locator.resist.shaver,OpenStreetMap¶n4445659743,A.C. Lim Polyclinic,35.29%,2d1a1691e60a40cbbe3b07d1a4a446e5,2016/10/13 11:38:46+00,OpenStreetMap,2,clinic,123,,,,
121.037660337983,14.2190679,http://www.openstreetmap.org/way/230280442,mistrusted.vindicates.passport,openstreetmap¶w230280442,A.U.P. Health Service,35.29%,022b2832edb949b8a6e96006587afdbe,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,
126.0867382,7.6730962,http://www.openstreetmap.org/node/4576708791,unfounded.courted.usages,OpenStreetMap¶n4576708791,"AACUACOR, AACUACOR",29.41%,2a8cb1225c7a43f88d489c2263f86bcf,2016/12/28 07:08:14+00,OpenStreetMap,2,clinic,,,,,
120.9831199,14.6264006,http://www.openstreetmap.org/node/3101506622,journey.chart.photos,openstreetmap¶n3101506622,ABC Clinic,35.29%,e8b170767861465e81725ee88d7289a4,2015/11/17 09:43:57.838+00,OpenStreetMap,2,clinic,,,,,
122.540258205784,10.74387405,http://www.openstreetmap.org/way/452880349,huddle.seaside.large,OpenStreetMap¶w452880349,ACE Medical Center Iloilo,29.41%,fe8384e92cb64b5280f721324518b6f5,2016/11/12 15:51:26+00,OpenStreetMap,2,hospital,,,,,
120.9439168,14.3163882,http://www.openstreetmap.org/node/4202133877,loaders.haunts.nuns,OpenStreetMap¶n4202133877,ADB Maternity and Lying Inn,29.41%,781eb0a07f504eb79c12e35ac0139c3d,2016/05/23 12:33:14+00,OpenStreetMap,2,clinic,,,,,
121.084352,14.6866662,http://www.openstreetmap.org/node/2594779317,charcoal.hairpin.lied,openstreetmap¶n2594779317,AF Holy Spirit Clinic,35.29%,9507ac148ed948999d8c3d12d986baad,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,
120.5321232,15.1820622,http://www.openstreetmap.org/node/806505825,inch.devotion.refers,openstreetmap¶n806505825,AFP Hospital Center,35.29%,af1baa21fa2841729511ca0620a94642,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,
120.9575383,14.3297723,http://www.openstreetmap.org/node/3785714613,moats.visitor.blurred,OpenStreetMap¶n3785714613,AL Santos Medical clinic,29.41%,6fcdbc2672f449e58d8c601ae7ab67c5,2015/10/14 05:14:51+00,OpenStreetMap,2,hospital,,,,,
121.054697,14.6110085,http://www.openstreetmap.org/node/4460972899,tweaked.badge.manage,OpenStreetMap¶n4460972899,"AMGB drug testing center, AMGB drug testing center",29.41%,8c90090e58264c989f099ab1074648ff,2016/10/23 22:08:00+00,OpenStreetMap,2,clinic,,,,,
123.9514784,10.3347424,http://www.openstreetmap.org/node/4362565390,renamed.spurned.youngest,OpenStreetMap¶n4362565390,AMOSUP SEAMENS HOSPITAL,29.41%,1f5a9720e9f5427988239cd3e193428d,2016/08/24 15:23:51+00,OpenStreetMap,2,hospital,,,,,
123.9514505,10.3348199,http://www.openstreetmap.org/node/4269890293,error.pump.emblem,OpenStreetMap¶n4269890293,AMOSUP Seaman's Hospital,35.29%,070f7f6e55ac4635be2c0ec1aa7005a7,2016/06/28 14:27:39+00,OpenStreetMap,2,hospital,Camino Vicinal Street,,,,
121.1857914,14.578262,http://www.openstreetmap.org/node/4361119893,capers.trusts.patch,OpenStreetMap¶n4361119893,ANTIPOLO CITY COMMUNITY HOSPITAL ANNEX,29.41%,09233efd41b746f4b846f546d30d0e15,2016/08/22 07:04:13+00,OpenStreetMap,2,hospital,,,,,
125.0081102,11.1781966,http://www.openstreetmap.org/node/3529918448,dangled.brushwood.skydivers,openstreetmap¶n3529918448,ARAW,35.29%,50d40db86f42485e85490fb1edd85cbe,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,
120.9838486,14.656482,http://www.openstreetmap.org/node/2303693406,widest.mammals.learning,openstreetmap¶n2303693406,ARO Aesthetic & Medical Center,35.29%,8833e060eb67445282085e250b41c50e,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,
123.735854769903,13.33000195,http://www.openstreetmap.org/way/330503423,snowman.infringes.fence,openstreetmap¶w330503423,Abandoned Andres-Maria Rios Memorial,35.29%,4e07680036ae40168f36e2b4b82d6f5c,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,
125.092109841478,7.9112659,http://www.openstreetmap.org/way/171348867,earthiness.stripes.undervalued,openstreetmap¶w171348867,Abella Midway Hospital,35.29%,2e19a7eeefe046b0935f1ff18b0d9e4f,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,
118.549510043628,9.4343901,http://www.openstreetmap.org/way/274478791,unflagging.bookmakers.rewind,openstreetmap¶w274478791,Aborlan Medicare Hospital,35.29%,fa42d1c18f174a9682216febe81e43f0,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,
120.958801,14.659661,http://www.openstreetmap.org/node/255059114,vertical.roofs.royally,openstreetmap¶n255059114,Abquillan Clinic,35.29%,0315062d2348435cb59031eaf742c4d9,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,
120.7264467,13.4449126,http://www.openstreetmap.org/node/3207782613,detritus.fantastical.contorts,openstreetmap¶n3207782613,Abra de Ilog Community Hospital,35.29%,1144483d7c334f5cb55a8356e2e4d608,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,
120.726624832467,13.4450646,http://www.openstreetmap.org/way/423583302,examination.retrain.ultimate,OpenStreetMap¶w423583302,Abra de Ilog Community Hospital,29.41%,fff45e7328a44279b758b75c7d2c7b7b,2016/08/28 13:03:50+00,OpenStreetMap,2,hospital,,,,,
120.5353993,14.7213612,http://www.openstreetmap.org/node/1367547424,equitably.enemies.embraced,openstreetmap¶n1367547424,Abucay health Center,35.29%,165de84c7ebb421e95177d099d581254,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,
