Country Code;Country Name;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960;1959;1958;1957;1956;1955;1954;1953;1952;1951;1950;1949;1948;1947;1946;1945;1944;1943;1942;1941;1940;1939;1938;1937;1936;1935;1934;1933;1932;1931;1930;1929;1928;1927;1926;1925;1924;1923;1922;1921;1920;1919;1918;1917;1916;1915;1914;1913;1912;1911;1910;1909;1908;1907;1906;1905;1904;1903;1902;1901;1900
AFG;AFGHANISTAN;0;0;2680;9700;1000;3250;180;3480;8210;6775;2700;4250;10000;250;0;31275;45000;750;750;7610;0;1000;0;9400;0;;0;0;;;0;6580;0;;0;;7500;;0;;;;0;0;;0;;;;;;0;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALB;ALBANIA;;;0;;0;150;;75;;0;0;;0;;;;0;0;0;0;;;0;;;0;0;;;1340;;;5000;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DZA;ALGERIA;;;0;0;0;2500;0;0;150;1750;0;200000;0;0;100;15700;;3000;0;;30000;650;2250;0;;0;200;0;;15000;1470;;0;0;443000;0;;;;;0;61000;;;;0;;0;15900;12000;;0;;;1250;;;;;;129250;;0;;;;;;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;
ASM;AMERICAN SAMOA;;;;;;0;;;;0;3000;0;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;ANGOLA;;0;0;100;78875;5065;0;6000;225;10000;1700;825;0;0;9000;0;0;0;;0;;;;;;0;;0;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIA;ANGUILLA;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;1000;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
ATG;ANTIGUA AND BARBUDA;;;;;0;;0;;;;;;;;;1439;2000;;;3537;;;;;0;530;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARG;ARGENTINA;0;0;2000;0;0;0;0;5000;0;200;0;20000;200;2000;8230;0;0;0;;0;0;4000;88074;1200;0;;0;750;60000;56000;0;250000;0;;0;0;0;40000;;0;0;0;0;;0;;;70000;0;0;;;;;;;0;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARM;ARMENIA;;0;;;;;;;;;0;;;;0;;144;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUS;AUSTRALIA;168;0;0;0;0;0;0;90;7141;0;0;30;249;0;0;672;0;0;1730;200;1340;5545;0;18;0;0;0;;1000;0;0;11000;0;0;0;0;0;0;0;0;0;1000;;0;0;;1200;0;;;;;;;;;;;;0;;;;;;;;;;;2100;;;;;3900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
